id,text,eventType,state,district,city,lat,lon,mediaUrl,source,timestamp,verificationStatus,verificationReason,confidence
18,Severe Thunderstorm reported in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/17.jpg,News Portal,2026-09-04T18:10:15,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
19,Multiple people affected by Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/18.jpg,WhatsApp,2026-09-05T10:43:48,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
20,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/19.jpg,Twitter,2026-09-04T18:21:50,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
21,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/20.jpg,WhatsApp,2026-09-04T15:08:37,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
22,Heavy Heatwave happening right now in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/21.jpg,Twitter,2026-09-06T15:29:38,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
23,Multiple people affected by Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/22.jpg,News Portal,2026-09-05T15:23:19,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
24,Urgent: Heatwave situation worsening in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/23.jpg,Twitter,2026-09-06T11:59:35,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
25,Severe Flood reported in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/24.jpg,Instagram,2026-09-05T11:40:02,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
26,Multiple people affected by Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/25.jpg,WhatsApp,2026-09-05T13:50:51,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
27,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/26.jpg,News Portal,2026-09-04T18:51:45,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
28,Severe Heatwave reported in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/27.jpg,Twitter,2026-09-06T11:37:00,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
29,Multiple people affected by Heatwave in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/28.jpg,Facebook,2026-09-06T14:49:21,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
30,Urgent: Flood situation worsening in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/29.jpg,WhatsApp,2026-09-05T12:48:37,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
31,Heavy Heatwave happening right now in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/30.jpg,WhatsApp,2026-09-06T13:29:33,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
32,Severe Flood reported in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/31.jpg,Twitter,2026-09-05T13:25:35,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
33,Urgent: Heatwave situation worsening in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/32.jpg,Instagram,2026-09-06T11:46:29,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
34,Multiple people affected by Heatwave in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/33.jpg,Facebook,2026-09-06T11:55:02,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
35,Heavy Flood happening right now in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/34.jpg,Twitter,2026-09-05T11:43:57,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
36,Severe Thunderstorm reported in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/35.jpg,Instagram,2026-09-04T19:30:25,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
37,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/36.jpg,News Portal,2026-09-04T14:22:54,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
38,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/37.jpg,News Portal,2026-09-04T18:53:21,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
39,Local authorities responding to Heatwave in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/38.jpg,WhatsApp,2026-09-06T14:42:14,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
40,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/39.jpg,News Portal,2026-09-04T17:12:38,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
41,Local authorities responding to Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/40.jpg,Facebook,2026-09-05T15:27:58,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
42,Urgent: Heatwave situation worsening in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/41.jpg,News Portal,2026-09-06T14:48:18,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
43,Heavy Flood happening right now in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/42.jpg,WhatsApp,2026-09-05T16:30:09,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
44,Heavy Flood happening right now in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/43.jpg,Twitter,2026-09-05T10:04:08,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
45,Severe Flood reported in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/44.jpg,Twitter,2026-09-05T14:18:48,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
46,Heavy Flood happening right now in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/45.jpg,Twitter,2026-09-05T16:13:21,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
47,Multiple people affected by Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/46.jpg,Instagram,2026-09-05T11:25:02,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
48,Multiple people affected by Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/47.jpg,WhatsApp,2026-09-05T15:55:23,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
49,Multiple people affected by Heatwave in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/48.jpg,Instagram,2026-09-06T11:39:48,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
50,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/49.jpg,Instagram,2026-09-04T15:46:39,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
51,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/50.jpg,Instagram,2026-09-04T16:32:46,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
52,Urgent: Flood situation worsening in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/51.jpg,News Portal,2026-09-05T12:25:18,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
53,Severe Thunderstorm reported in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/52.jpg,Twitter,2026-09-04T17:44:02,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
54,Heavy Flood happening right now in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/53.jpg,WhatsApp,2026-09-05T11:01:41,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
55,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/54.jpg,WhatsApp,2026-09-04T18:32:33,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
56,Urgent: Flood situation worsening in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/55.jpg,Twitter,2026-09-05T17:51:16,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
57,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/56.jpg,Instagram,2026-09-04T18:31:59,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
58,Heavy Heatwave happening right now in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/57.jpg,News Portal,2026-09-06T11:22:03,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
59,Multiple people affected by Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/58.jpg,News Portal,2026-09-04T16:37:07,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
60,Heavy Thunderstorm happening right now in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/59.jpg,Twitter,2026-09-04T15:38:43,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
61,Severe Heatwave reported in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/60.jpg,Twitter,2026-09-06T16:24:54,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
62,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/61.jpg,WhatsApp,2026-09-04T19:25:01,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
63,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/62.jpg,News Portal,2026-09-04T17:23:26,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
64,Multiple people affected by Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/63.jpg,WhatsApp,2026-09-05T11:16:55,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
65,Heavy Flood happening right now in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/64.jpg,WhatsApp,2026-09-05T10:55:19,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
66,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/65.jpg,WhatsApp,2026-09-04T16:12:27,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
67,Multiple people affected by Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/66.jpg,News Portal,2026-09-05T11:04:53,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
68,Severe Heatwave reported in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/67.jpg,WhatsApp,2026-09-06T11:24:43,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
69,Severe Heatwave reported in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/68.jpg,News Portal,2026-09-06T14:38:26,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
70,Severe Thunderstorm reported in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/69.jpg,WhatsApp,2026-09-04T15:04:40,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
71,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/70.jpg,Instagram,2026-09-04T15:18:43,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
72,Multiple people affected by Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/71.jpg,Facebook,2026-09-04T17:49:30,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
73,Multiple people affected by Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/72.jpg,WhatsApp,2026-09-04T18:22:06,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
74,Heavy Heatwave happening right now in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/73.jpg,WhatsApp,2026-09-06T11:22:25,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
75,Severe Heatwave reported in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/74.jpg,News Portal,2026-09-06T14:27:51,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
76,Heavy Flood happening right now in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/75.jpg,Facebook,2026-09-05T10:53:04,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
77,Heavy Thunderstorm happening right now in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/76.jpg,News Portal,2026-09-04T14:00:47,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
78,Local authorities responding to Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/77.jpg,WhatsApp,2026-09-05T14:33:45,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
79,Severe Thunderstorm reported in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/78.jpg,Instagram,2026-09-04T19:46:39,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
80,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/79.jpg,News Portal,2026-09-04T14:50:44,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
81,Heavy Flood happening right now in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/80.jpg,News Portal,2026-09-05T16:11:12,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
82,Severe Heatwave reported in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/81.jpg,Twitter,2026-09-06T16:24:05,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
83,Multiple people affected by Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/82.jpg,News Portal,2026-09-04T16:18:17,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
84,Urgent: Flood situation worsening in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/83.jpg,WhatsApp,2026-09-05T13:21:46,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
85,Urgent: Flood situation worsening in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/84.jpg,WhatsApp,2026-09-05T13:04:53,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
86,Heavy Thunderstorm happening right now in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/85.jpg,Facebook,2026-09-04T18:18:09,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
87,Urgent: Flood situation worsening in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/86.jpg,Twitter,2026-09-05T13:12:53,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
88,Local authorities responding to Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/87.jpg,Instagram,2026-09-05T15:40:35,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
89,Heavy Thunderstorm happening right now in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/88.jpg,Twitter,2026-09-04T16:44:33,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
90,Multiple people affected by Heatwave in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/89.jpg,Twitter,2026-09-06T12:14:55,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
91,Multiple people affected by Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/90.jpg,Instagram,2026-09-04T14:02:53,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
92,Multiple people affected by Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/91.jpg,Instagram,2026-09-05T15:18:29,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
93,Severe Thunderstorm reported in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/92.jpg,News Portal,2026-09-04T16:58:17,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
94,Severe Thunderstorm reported in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/93.jpg,Facebook,2026-09-04T17:55:35,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
95,Multiple people affected by Heatwave in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/94.jpg,WhatsApp,2026-09-06T11:30:15,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
96,Severe Flood reported in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/95.jpg,Twitter,2026-09-05T11:59:39,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
97,Severe Thunderstorm reported in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/96.jpg,Facebook,2026-09-04T18:50:21,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
98,Local authorities responding to Heatwave in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/97.jpg,Instagram,2026-09-06T13:16:28,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
99,Local authorities responding to Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/98.jpg,WhatsApp,2026-09-05T10:52:25,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
100,Heavy Thunderstorm happening right now in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5726,88.3639,https://example.com/media/99.jpg,News Portal,2026-09-04T15:26:20,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
101,Heavy Flood happening right now in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/100.jpg,Facebook,2026-09-05T13:02:06,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
102,Severe Heatwave reported in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/101.jpg,News Portal,2026-09-06T13:07:30,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
103,Local authorities responding to Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/102.jpg,Facebook,2026-09-05T13:47:28,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
104,Heavy Heatwave happening right now in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/103.jpg,News Portal,2026-09-06T13:43:03,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
105,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5726,88.3639,https://example.com/media/104.jpg,WhatsApp,2026-09-04T17:43:39,Verified,Matches 1 official warning(s) for thunderstorm in kolkata.,0.9
106,Multiple people affected by Heatwave in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6139,77.209,https://example.com/media/105.jpg,WhatsApp,2026-09-06T11:52:24,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
107,Heavy Heatwave happening right now in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/106.jpg,News Portal,2026-09-06T15:23:55,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
108,Urgent: Flood situation worsening in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/107.jpg,WhatsApp,2026-09-05T10:03:17,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
109,Heavy Heatwave happening right now in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6139,77.209,https://example.com/media/108.jpg,Facebook,2026-09-06T15:41:01,Verified,Matches 1 official warning(s) for heatwave in central delhi.,0.9
110,Multiple people affected by Flood in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0225,72.5714,https://example.com/media/109.jpg,News Portal,2026-09-05T10:03:12,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
111,Urgent: Flood situation worsening in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0225,72.5714,https://example.com/media/110.jpg,News Portal,2026-09-05T17:37:55,Verified,Matches 1 official warning(s) for flood in ahmedabad.,0.9
