id,text,eventType,state,district,city,lat,lon,mediaUrl,source,timestamp,verificationStatus,verificationReason,confidence,ml_credibility_score
17,Urgent: Fog situation worsening in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6511,74.867,https://example.com/media/17.jpg,Instagram,2026-09-02T07:38:30,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6211803014367919
18,Severe Dust Storm reported in Jaipur.,Dust Storm,Rajasthan,Jaipur,Jaipur,26.9018,75.7903,https://example.com/media/18.jpg,Instagram,2026-09-07T16:49:40,Verified,Matches official warning(s) for dust storm in jaipur.,0.9,0.2619797778753388
19,Severe Thunderstorm reported in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5885,88.3751,https://example.com/media/19.jpg,Facebook,2026-09-04T19:33:03,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.4923349378993361
20,Multiple people affected by Rainfall in Mumbai.,Rainfall,Maharashtra,Mumbai,Thane,19.0638,72.8687,https://example.com/media/20.jpg,Facebook,2026-09-03T19:44:42,Verified,Matches official warning(s) for rainfall in mumbai.,0.9,0.752517862228704
21,Heavy Thunderstorm happening right now in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5751,88.3682,https://example.com/media/21.jpg,Instagram,2026-09-04T17:22:15,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.6319547629672495
22,Severe Dust Storm reported in Jaipur.,Dust Storm,Rajasthan,Jaipur,Jaipur,26.8979,75.8004,https://example.com/media/22.jpg,Instagram,2026-09-07T16:35:35,Verified,Matches official warning(s) for dust storm in jaipur.,0.9,0.2619797778753388
23,Heavy Fog happening right now in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6233,74.892,https://example.com/media/23.jpg,Twitter,2026-09-02T07:39:23,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6518913365677934
24,Urgent: Strong Winds situation worsening in Chennai.,Strong Winds,Tamil Nadu,Chennai,Chennai,13.0627,80.2511,https://example.com/media/24.jpg,WhatsApp,2026-09-08T16:27:43,Verified,Matches official warning(s) for strong winds in chennai.,0.9,0.7008984943887714
25,Heavy Thunderstorm happening right now in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5896,88.3729,https://example.com/media/25.jpg,Facebook,2026-09-04T14:51:16,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.6319547629672495
26,Urgent: Flood situation worsening in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0174,72.5595,https://example.com/media/26.jpg,Twitter,2026-09-05T12:18:19,Verified,Matches official warning(s) for flood in ahmedabad.,0.9,0.4742282553338877
27,Urgent: Fog situation worsening in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.633,74.8586,https://example.com/media/27.jpg,WhatsApp,2026-09-02T08:55:06,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6211803014367919
28,Local authorities responding to Dust Storm in Jaipur.,Dust Storm,Rajasthan,Jaipur,Jaipur,26.8948,75.7933,https://example.com/media/28.jpg,Twitter,2026-09-07T18:46:52,Verified,Matches official warning(s) for dust storm in jaipur.,0.9,0.5466890024062144
29,Heavy Flood happening right now in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0168,72.5909,https://example.com/media/29.jpg,Facebook,2026-09-05T11:29:51,Verified,Matches official warning(s) for flood in ahmedabad.,0.9,0.5633464896467616
30,Urgent: Flood situation worsening in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.0358,72.5871,https://example.com/media/30.jpg,Instagram,2026-09-05T17:43:08,Verified,Matches official warning(s) for flood in ahmedabad.,0.9,0.4742282553338877
31,Heavy Thunderstorm happening right now in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5673,88.3822,https://example.com/media/31.jpg,Instagram,2026-09-04T15:45:49,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.6319547629672495
32,Heavy Thunderstorm happening right now in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5911,88.3549,https://example.com/media/32.jpg,Twitter,2026-09-04T19:28:00,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.6319547629672495
33,Urgent: Flood situation worsening in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0271,72.5748,https://example.com/media/33.jpg,WhatsApp,2026-09-05T17:52:20,Verified,Matches official warning(s) for flood in ahmedabad.,0.9,0.4742282553338877
34,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5637,88.3704,https://example.com/media/34.jpg,WhatsApp,2026-09-04T15:07:39,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.6598097166403365
35,Severe Heatwave reported in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6029,77.2235,https://example.com/media/35.jpg,News Portal,2026-09-06T12:31:04,Verified,Matches official warning(s) for heatwave in central delhi.,0.9,0.5915705789115018
36,Severe Fog reported in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6465,74.8581,https://example.com/media/36.jpg,Twitter,2026-09-02T09:29:29,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6074518437844743
37,Severe Thunderstorm reported in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5587,88.3723,https://example.com/media/37.jpg,Instagram,2026-09-04T15:30:21,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.4923349378993361
38,Severe Fog reported in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6492,74.8749,https://example.com/media/38.jpg,Facebook,2026-09-02T05:10:55,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6074518437844743
39,Heavy Heatwave happening right now in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6217,77.2082,https://example.com/media/39.jpg,News Portal,2026-09-06T13:24:19,Verified,Matches official warning(s) for heatwave in central delhi.,0.9,0.6170176129770619
40,Heavy Rainfall happening right now in Mumbai.,Rainfall,Maharashtra,Mumbai,Mumbai,19.0587,72.8975,https://example.com/media/40.jpg,Twitter,2026-09-03T10:07:35,Verified,Matches official warning(s) for rainfall in mumbai.,0.9,0.6570710337153354
41,Multiple people affected by Rainfall in Mumbai.,Rainfall,Maharashtra,Mumbai,Mumbai,19.0761,72.8594,https://example.com/media/41.jpg,Facebook,2026-09-03T11:33:33,Verified,Matches official warning(s) for rainfall in mumbai.,0.9,0.752517862228704
42,Multiple people affected by Strong Winds in Chennai.,Strong Winds,Tamil Nadu,Chennai,Chennai,13.0974,80.2634,https://example.com/media/42.jpg,News Portal,2026-09-08T13:12:49,Verified,Matches official warning(s) for strong winds in chennai.,0.9,0.7956711401045303
43,Heavy Heatwave happening right now in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.5978,77.2009,https://example.com/media/43.jpg,Instagram,2026-09-06T14:09:14,Verified,Matches official warning(s) for heatwave in central delhi.,0.9,0.6170176129770619
44,Multiple people affected by Fog in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6205,74.8527,https://example.com/media/44.jpg,News Portal,2026-09-02T06:03:48,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6900265146173761
45,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Howrah,22.5758,88.3775,https://example.com/media/45.jpg,WhatsApp,2026-09-04T18:30:27,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.4930770663204395
46,Multiple people affected by Heatwave in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6143,77.1971,https://example.com/media/46.jpg,News Portal,2026-09-06T15:59:26,Verified,Matches official warning(s) for heatwave in central delhi.,0.9,0.6966355678510565
47,Heavy Thunderstorm happening right now in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5614,88.3779,https://example.com/media/47.jpg,News Portal,2026-09-04T17:13:50,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.6319547629672495
48,Urgent: Strong Winds situation worsening in Chennai.,Strong Winds,Tamil Nadu,Chennai,Chennai,13.0934,80.2749,https://example.com/media/48.jpg,Twitter,2026-09-08T15:41:38,Verified,Matches official warning(s) for strong winds in chennai.,0.9,0.7008984943887714
49,Urgent: Strong Winds situation worsening in Chennai.,Strong Winds,Tamil Nadu,Chennai,Chennai,13.0821,80.276,https://example.com/media/49.jpg,WhatsApp,2026-09-08T12:24:49,Verified,Matches official warning(s) for strong winds in chennai.,0.9,0.7008984943887714
50,Heavy Fog happening right now in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6325,74.86,https://example.com/media/50.jpg,Facebook,2026-09-02T07:46:24,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6518913365677934
51,Severe Flood reported in Ahmedabad.,Flood,Gujarat,Ahmedabad,Gandhinagar,23.006,72.577,https://example.com/media/51.jpg,WhatsApp,2026-09-05T13:40:54,Verified,Matches official warning(s) for flood in ahmedabad.,0.9,0.47823043349168226
52,Urgent: Dust Storm situation worsening in Jaipur.,Dust Storm,Rajasthan,Jaipur,Jaipur,26.9041,75.7703,https://example.com/media/52.jpg,Facebook,2026-09-07T16:50:40,Verified,Matches official warning(s) for dust storm in jaipur.,0.9,0.2805589641888411
53,Local authorities responding to Fog in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6374,74.8657,https://example.com/media/53.jpg,WhatsApp,2026-09-02T07:48:09,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6858093892462295
54,Heavy Thunderstorm happening right now in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5529,88.3439,https://example.com/media/54.jpg,WhatsApp,2026-09-04T18:37:57,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.6319547629672495
55,Urgent: Strong Winds situation worsening in Chennai.,Strong Winds,Tamil Nadu,Chennai,Chennai,13.0749,80.264,https://example.com/media/55.jpg,Twitter,2026-09-08T17:58:28,Verified,Matches official warning(s) for strong winds in chennai.,0.9,0.7008984943887714
56,Severe Fog reported in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6474,74.8543,https://example.com/media/56.jpg,News Portal,2026-09-02T07:09:50,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6074518437844743
57,Urgent: Strong Winds situation worsening in Chennai.,Strong Winds,Tamil Nadu,Chennai,Chennai,13.081,80.2868,https://example.com/media/57.jpg,WhatsApp,2026-09-08T12:25:00,Verified,Matches official warning(s) for strong winds in chennai.,0.9,0.7008984943887714
58,Local authorities responding to Thunderstorm in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5565,88.3619,https://example.com/media/58.jpg,News Portal,2026-09-04T16:44:13,Verified,Matches official warning(s) for thunderstorm in kolkata.,0.9,0.6598097166403365
59,Multiple people affected by Dust Storm in Jaipur.,Dust Storm,Rajasthan,Jaipur,Jaipur,26.8935,75.7905,https://example.com/media/59.jpg,News Portal,2026-09-07T15:28:56,Verified,Matches official warning(s) for dust storm in jaipur.,0.9,0.5491850550096192
60,Heavy Flood happening right now in Ahmedabad.,Flood,Gujarat,Ahmedabad,Ahmedabad,23.0322,72.5583,https://example.com/media/60.jpg,Facebook,2026-09-05T15:45:32,Verified,Matches official warning(s) for flood in ahmedabad.,0.9,0.5633464896467616
61,Multiple people affected by Heatwave in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.6274,77.1923,https://example.com/media/61.jpg,News Portal,2026-09-06T11:04:28,Verified,Matches official warning(s) for heatwave in central delhi.,0.9,0.6966355678510565
62,Urgent: Heatwave situation worsening in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.6142,77.221,https://example.com/media/62.jpg,Facebook,2026-09-06T11:21:23,Verified,Matches official warning(s) for heatwave in central delhi.,0.9,0.591386555647102
63,Severe Fog reported in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6424,74.8901,https://example.com/media/63.jpg,Twitter,2026-09-02T07:29:12,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6074518437844743
64,Urgent: Rainfall situation worsening in Mumbai.,Rainfall,Maharashtra,Mumbai,Mumbai,19.0622,72.8708,https://example.com/media/64.jpg,Facebook,2026-09-03T12:15:57,Verified,Matches official warning(s) for rainfall in mumbai.,0.9,0.5680001206843617
65,Multiple people affected by Strong Winds in Chennai.,Strong Winds,Tamil Nadu,Chennai,Chennai,13.0761,80.2827,https://example.com/media/65.jpg,Facebook,2026-09-08T13:21:31,Verified,Matches official warning(s) for strong winds in chennai.,0.9,0.7956711401045303
66,Severe Strong Winds reported in Chennai.,Strong Winds,Tamil Nadu,Chennai,Chennai,13.0956,80.2697,https://example.com/media/66.jpg,WhatsApp,2026-09-08T12:51:02,Verified,Matches official warning(s) for strong winds in chennai.,0.9,0.7050141803359107
67,Heavy Fog happening right now in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6152,74.872,https://example.com/media/67.jpg,Instagram,2026-09-02T05:40:46,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6518913365677934
68,Heavy Dust Storm happening right now in Jaipur.,Dust Storm,Rajasthan,Jaipur,Jaipur,26.9045,75.7887,https://example.com/media/68.jpg,WhatsApp,2026-09-07T15:36:03,Verified,Matches official warning(s) for dust storm in jaipur.,0.9,0.3105301480650323
69,Heavy Fog happening right now in Amritsar.,Fog,Punjab,Amritsar,Amritsar,31.6168,74.8584,https://example.com/media/69.jpg,Twitter,2026-09-02T08:36:20,Verified,Matches official warning(s) for fog in amritsar.,0.9,0.6518913365677934
70,Heavy Heatwave happening right now in Central Delhi.,Heatwave,Delhi,Central Delhi,New Delhi,28.619,77.1966,https://example.com/media/70.jpg,Instagram,2026-09-06T13:32:38,Verified,Matches official warning(s) for heatwave in central delhi.,0.9,0.6170176129770619
71,Severe Fog reported in Jaipur.,Fog,Rajasthan,Jaipur,Jaipur,26.8935,75.7911,https://example.com/media/71.jpg,Twitter,2026-08-16T11:48:29,Unverified,No matching ground truth event found for fog in jaipur.,0.5,0.6131515555613972
72,Urgent: Rainfall situation worsening in Mumbai.,Rainfall,Maharashtra,Mumbai,Mumbai,19.0891,72.8583,https://example.com/media/72.jpg,WhatsApp,2026-09-06T20:51:06,Unverified,"Location matches, but timestamp outside event window for rainfall in mumbai.",0.6,0.5680001206843617
73,Local authorities responding to Strong Winds in Central Delhi.,Strong Winds,Delhi,Central Delhi,Central Delhi,28.6079,77.1924,https://example.com/media/73.jpg,Twitter,2026-08-17T10:01:55,Unverified,No matching ground truth event found for strong winds in central delhi.,0.5,0.8211648551350564
74,Urgent: Rainfall situation worsening in Jaipur.,Rainfall,Rajasthan,Jaipur,Jaipur,26.9246,75.7955,https://example.com/media/74.jpg,Instagram,2026-08-06T19:50:31,Unverified,No matching ground truth event found for rainfall in jaipur.,0.5,0.598731372306223
75,Urgent: Rainfall situation worsening in Jaipur.,Rainfall,Rajasthan,Jaipur,Jaipur,26.9102,75.7841,https://example.com/media/75.jpg,Facebook,2026-08-14T09:41:34,Unverified,No matching ground truth event found for rainfall in jaipur.,0.5,0.598731372306223
76,Severe Strong Winds reported in Central Delhi.,Strong Winds,Delhi,Central Delhi,New Delhi,28.632,77.1931,https://example.com/media/76.jpg,Facebook,2026-08-07T17:18:25,Unverified,No matching ground truth event found for strong winds in central delhi.,0.5,0.7693499228748637
77,Local authorities responding to Strong Winds in Kolkata.,Strong Winds,West Bengal,Kolkata,Kolkata,22.5865,88.3838,https://example.com/media/77.jpg,Facebook,2026-08-09T10:32:37,Unverified,No matching ground truth event found for strong winds in kolkata.,0.5,0.8381874181825963
78,Severe Flood reported in Amritsar.,Flood,Punjab,Amritsar,Amritsar,31.6312,74.8669,https://example.com/media/78.jpg,Twitter,2026-08-31T03:55:37,Misinformation,No matching ground truth event and low ML credibility score.,0.7,0.38031596315671723
79,Heavy Rainfall happening right now in Ahmedabad.,Rainfall,Gujarat,Ahmedabad,Ahmedabad,23.0026,72.5787,https://example.com/media/79.jpg,WhatsApp,2026-08-25T01:07:07,Unverified,No matching ground truth event found for rainfall in ahmedabad.,0.5,0.6993909106418736
80,Heavy Heatwave happening right now in Amritsar.,Heatwave,Punjab,Amritsar,Amritsar,31.6484,74.865,https://example.com/media/80.jpg,Facebook,2026-08-17T11:16:53,Unverified,No matching ground truth event found for heatwave in amritsar.,0.5,0.49080393939390143
81,Urgent: Thunderstorm situation worsening in Kolkata.,Thunderstorm,West Bengal,Kolkata,Kolkata,22.5681,88.344,https://example.com/media/81.jpg,WhatsApp,2026-08-11T22:35:08,Unverified,"Location matches, but timestamp outside event window for thunderstorm in kolkata.",0.6,0.4930770663204395
82,Heavy Rainfall happening right now in Ahmedabad.,Rainfall,Gujarat,Ahmedabad,Gandhinagar,23.0412,72.5836,https://example.com/media/82.jpg,WhatsApp,2026-08-09T06:32:43,Unverified,No matching ground truth event found for rainfall in ahmedabad.,0.5,0.6993909106418736
83,Heavy Flood happening right now in Mumbai.,Flood,Maharashtra,Mumbai,Mumbai,19.0587,72.8613,https://example.com/media/83.jpg,News Portal,2026-08-11T22:15:05,Unverified,No matching ground truth event found for flood in mumbai.,0.5,0.5100445692628505
84,Multiple people affected by Thunderstorm in Jaipur.,Thunderstorm,Rajasthan,Jaipur,Jaipur,26.8974,75.8056,https://example.com/media/84.jpg,Facebook,2026-08-30T13:24:42,Unverified,No matching ground truth event found for thunderstorm in jaipur.,0.5,0.4660162640833561
85,Local authorities responding to Heatwave in Mumbai.,Heatwave,Maharashtra,Mumbai,Mumbai,19.0778,72.8719,https://example.com/media/85.jpg,News Portal,2026-08-29T03:09:33,Unverified,No matching ground truth event found for heatwave in mumbai.,0.5,0.6357340181643236
86,Severe Flood reported in Kolkata.,Flood,West Bengal,Kolkata,Kolkata,22.5871,88.3808,https://example.com/media/86.jpg,News Portal,2026-08-13T18:17:33,Unverified,No matching ground truth event found for flood in kolkata.,0.5,0.5193300747446565
87,Severe Flood reported in Central Delhi.,Flood,Delhi,Central Delhi,Central Delhi,28.6026,77.223,https://example.com/media/87.jpg,News Portal,2026-08-13T23:45:29,Unverified,No matching ground truth event found for flood in central delhi.,0.5,0.538038207577792
88,Multiple people affected by Rainfall in Ahmedabad.,Rainfall,Gujarat,Ahmedabad,Gandhinagar,23.0412,72.5641,https://example.com/media/88.jpg,Twitter,2026-08-17T12:20:30,Unverified,No matching ground truth event found for rainfall in ahmedabad.,0.5,0.7741559953515027
89,Heavy Heatwave happening right now in Central Delhi.,Heatwave,Delhi,Central Delhi,Central Delhi,28.597,77.2163,https://example.com/media/89.jpg,Facebook,2026-08-19T19:46:57,Unverified,"Location matches, but timestamp outside event window for heatwave in central delhi.",0.6,0.6170176129770619
90,Multiple people affected by Flood in Chennai.,Flood,Tamil Nadu,Chennai,Chennai,13.085,80.2653,https://example.com/media/90.jpg,Twitter,2026-08-30T20:55:59,Unverified,No matching ground truth event found for flood in chennai.,0.5,0.6273020000199957
91,Severe Thunderstorm reported in Ahmedabad.,Thunderstorm,Gujarat,Ahmedabad,Gandhinagar,23.0243,72.5856,https://example.com/media/91.jpg,Facebook,2026-08-17T02:55:11,Unverified,No matching ground truth event found for thunderstorm in ahmedabad.,0.5,0.4501642511430682
92,Multiple people affected by Dust Storm in Central Delhi.,Dust Storm,Delhi,Central Delhi,New Delhi,28.6095,77.2166,https://example.com/media/92.jpg,Instagram,2026-08-21T15:03:18,Unverified,No matching ground truth event found for dust storm in central delhi.,0.5,0.49007364350200133
93,Multiple people affected by Flood in Central Delhi.,Flood,Delhi,Central Delhi,Central Delhi,28.6309,77.2282,https://example.com/media/93.jpg,Twitter,2026-08-23T19:38:51,Unverified,No matching ground truth event found for flood in central delhi.,0.5,0.617029102791143
94,Urgent: Flood situation worsening in Mumbai.,Flood,Maharashtra,Mumbai,Mumbai,19.0869,72.8967,https://example.com/media/94.jpg,WhatsApp,2026-09-05T01:16:11,Misinformation,No matching ground truth event and low ML credibility score.,0.7,0.39581334679563357
95,Heavy Strong Winds happening right now in Ahmedabad.,Strong Winds,Gujarat,Ahmedabad,Gandhinagar,23.032,72.5601,https://example.com/media/95.jpg,Instagram,2026-08-27T06:59:44,Unverified,No matching ground truth event found for strong winds in ahmedabad.,0.5,0.758419090654233
96,Local authorities responding to Flood in Chennai.,Flood,Tamil Nadu,Chennai,Chennai,13.0921,80.2802,https://example.com/media/96.jpg,Instagram,2026-08-29T13:33:22,Unverified,No matching ground truth event found for flood in chennai.,0.5,0.561446192268956
97,Urgent: Dust Storm situation worsening in Chennai.,Dust Storm,Tamil Nadu,Chennai,Chennai,13.072,80.2616,https://example.com/media/97.jpg,Facebook,2026-08-28T16:24:26,Misinformation,No matching ground truth event and low ML credibility score.,0.7,0.28218852445404186
98,Severe Rainfall reported in Ahmedabad.,Rainfall,Gujarat,Ahmedabad,Ahmedabad,23.0068,72.5866,https://example.com/media/98.jpg,Facebook,2026-08-20T19:01:48,Unverified,No matching ground truth event found for rainfall in ahmedabad.,0.5,0.7284621049344419
99,Multiple people affected by Fog in Ahmedabad.,Fog,Gujarat,Ahmedabad,Gandhinagar,23.0051,72.5751,https://example.com/media/99.jpg,WhatsApp,2026-08-24T12:18:49,Unverified,No matching ground truth event found for fog in ahmedabad.,0.5,0.7574814364126985
100,Heavy Strong Winds happening right now in Central Delhi.,Strong Winds,Delhi,Central Delhi,Central Delhi,28.6177,77.1987,https://example.com/media/100.jpg,News Portal,2026-08-25T10:57:23,Unverified,No matching ground truth event found for strong winds in central delhi.,0.5,0.7817934774439479
101,Multiple people affected by Fog in Ahmedabad.,Fog,Gujarat,Ahmedabad,Gandhinagar,23.0142,72.5802,https://example.com/media/101.jpg,WhatsApp,2026-09-08T15:27:27,Unverified,No matching ground truth event found for fog in ahmedabad.,0.5,0.7574814364126985
102,Severe Flood reported in Jaipur.,Flood,Rajasthan,Jaipur,Jaipur,26.9203,75.782,https://example.com/media/102.jpg,News Portal,2026-08-19T03:00:30,Misinformation,No matching ground truth event and low ML credibility score.,0.7,0.3912351056553518
103,Severe Rainfall reported in Central Delhi.,Rainfall,Delhi,Central Delhi,New Delhi,28.624,77.2229,https://example.com/media/103.jpg,Instagram,2026-08-23T12:17:04,Unverified,No matching ground truth event found for rainfall in central delhi.,0.5,0.7591692903868943
104,Local authorities responding to Thunderstorm in Jaipur.,Thunderstorm,Rajasthan,Jaipur,Jaipur,26.8983,75.7903,https://example.com/media/104.jpg,WhatsApp,2026-08-26T10:23:19,Unverified,No matching ground truth event found for thunderstorm in jaipur.,0.5,0.430650741269017
105,Urgent: Heatwave situation worsening in Kolkata.,Heatwave,West Bengal,Kolkata,Kolkata,22.5839,88.3587,https://example.com/media/105.jpg,News Portal,2026-08-15T00:01:14,Unverified,No matching ground truth event found for heatwave in kolkata.,0.5,0.5849095737636663
106,Urgent: Dust Storm situation worsening in Chennai.,Dust Storm,Tamil Nadu,Chennai,Chennai,13.0941,80.2691,https://example.com/media/106.jpg,WhatsApp,2026-08-19T17:38:26,Misinformation,No matching ground truth event and low ML credibility score.,0.7,0.28218852445404186
107,Urgent: Thunderstorm situation worsening in Jaipur.,Thunderstorm,Rajasthan,Jaipur,Jaipur,26.9134,75.7751,https://example.com/media/107.jpg,Twitter,2026-08-07T21:16:01,Unverified,No matching ground truth event found for thunderstorm in jaipur.,0.5,0.4039537553025318
108,Severe Rainfall reported in Chennai.,Rainfall,Tamil Nadu,Chennai,Chennai,13.0811,80.2621,https://example.com/media/108.jpg,WhatsApp,2026-08-12T14:18:28,Unverified,No matching ground truth event found for rainfall in chennai.,0.5,0.6807683231694673
